dataset,column,missing_count,missing_percent
Yellow Taxi Cleaned,VendorID,0,0.0
Yellow Taxi Cleaned,tpep_pickup_datetime,0,0.0
Yellow Taxi Cleaned,tpep_dropoff_datetime,0,0.0
Yellow Taxi Cleaned,passenger_count,0,0.0
Yellow Taxi Cleaned,trip_distance,0,0.0
Yellow Taxi Cleaned,PULocationID,0,0.0
Yellow Taxi Cleaned,DOLocationID,0,0.0
Yellow Taxi Cleaned,RatecodeID,0,0.0
Yellow Taxi Cleaned,store_and_fwd_flag,0,0.0
Yellow Taxi Cleaned,payment_type,0,0.0
Yellow Taxi Cleaned,fare_amount,0,0.0
Yellow Taxi Cleaned,extra,0,0.0
Yellow Taxi Cleaned,mta_tax,0,0.0
Yellow Taxi Cleaned,tip_amount,0,0.0
Yellow Taxi Cleaned,tolls_amount,0,0.0
Yellow Taxi Cleaned,improvement_surcharge,0,0.0
Yellow Taxi Cleaned,total_amount,0,0.0
Yellow Taxi Cleaned,source_file,0,0.0
Yellow Taxi Cleaned,trip_duration_minutes,0,0.0
Yellow Taxi Cleaned,pickup_hour,0,0.0
Taxi Zone Lookup,LocationID,0,0.0
Taxi Zone Lookup,Borough,1,0.37735849056603776
Taxi Zone Lookup,Zone,1,0.37735849056603776
Taxi Zone Lookup,service_zone,2,0.7547169811320755
Weather Dataset,timestamp,0,0.0
Weather Dataset,temperature,0,0.0
Weather Dataset,precipitation,0,0.0
Weather Dataset,snowfall,0,0.0
Weather Dataset,wind_speed,0,0.0
Weather Dataset,humidity,0,0.0
Weather Dataset,weather_code,0,0.0
Weather Dataset,weather_category,0,0.0
Event Incident Dataset,timestamp,0,0.0
Event Incident Dataset,zone_id,0,0.0
Event Incident Dataset,event_active,0,0.0
Event Incident Dataset,event_flag,0,0.0
Event Incident Dataset,event_intensity,0,0.0
Event Incident Dataset,event_intensity_score,0,0.0
Event Incident Dataset,zone_incident_count,0,0.0
Event Incident Dataset,citywide_incident_count,0,0.0
Event Incident Dataset,incident_flag,0,0.0
Event Incident Dataset,accident_flag,0,0.0
Event Incident Dataset,road_disruption_flag,0,0.0
Event Incident Dataset,road_closure_flag,0,0.0
Event Incident Dataset,disruption_score,0,0.0
Event Incident Dataset,event_mapping_quality,0,0.0
Final Merged Dataset,timestamp,0,0.0
Final Merged Dataset,zone_id,0,0.0
Final Merged Dataset,pickup_count,0,0.0
Final Merged Dataset,mean_trip_distance,0,0.0
Final Merged Dataset,mean_total_amount,0,0.0
Final Merged Dataset,mean_fare_amount,0,0.0
Final Merged Dataset,mean_duration_minutes,0,0.0
Final Merged Dataset,median_duration_minutes,0,0.0
Final Merged Dataset,mean_passenger_count,0,0.0
Final Merged Dataset,unique_dropoff_zones,0,0.0
Final Merged Dataset,borough,2015,0.4149377593360996
Final Merged Dataset,zone_name,2015,0.4149377593360996
Final Merged Dataset,service_zone,4030,0.8298755186721992
Final Merged Dataset,hour,0,0.0
Final Merged Dataset,day_of_week,0,0.0
Final Merged Dataset,day_of_month,0,0.0
Final Merged Dataset,month,0,0.0
Final Merged Dataset,week_of_year,0,0.0
Final Merged Dataset,is_weekend,0,0.0
Final Merged Dataset,is_rush_hour,0,0.0
Final Merged Dataset,hour_sin,0,0.0
Final Merged Dataset,hour_cos,0,0.0
Final Merged Dataset,day_of_week_sin,0,0.0
Final Merged Dataset,day_of_week_cos,0,0.0
Final Merged Dataset,is_holiday,0,0.0
Final Merged Dataset,temperature,0,0.0
Final Merged Dataset,precipitation,0,0.0
Final Merged Dataset,snowfall,0,0.0
Final Merged Dataset,wind_speed,0,0.0
Final Merged Dataset,humidity,0,0.0
Final Merged Dataset,weather_code,0,0.0
Final Merged Dataset,weather_category,0,0.0
Final Merged Dataset,weather_available,0,0.0
Final Merged Dataset,event_active,0,0.0
Final Merged Dataset,event_flag,0,0.0
Final Merged Dataset,event_intensity,0,0.0
Final Merged Dataset,event_intensity_score,0,0.0
Final Merged Dataset,zone_incident_count,0,0.0
Final Merged Dataset,citywide_incident_count,0,0.0
Final Merged Dataset,incident_flag,0,0.0
Final Merged Dataset,accident_flag,0,0.0
Final Merged Dataset,road_disruption_flag,0,0.0
Final Merged Dataset,road_closure_flag,0,0.0
Final Merged Dataset,disruption_score,0,0.0
Final Merged Dataset,event_mapping_quality,0,0.0
Final Merged Dataset,pickup_count_lag_1,0,0.0
Final Merged Dataset,pickup_count_lag_2,0,0.0
Final Merged Dataset,pickup_count_lag_3,0,0.0
Final Merged Dataset,pickup_count_lag_24,0,0.0
Final Merged Dataset,pickup_count_lag_168,0,0.0
Final Merged Dataset,pickup_count_roll_mean_3,0,0.0
Final Merged Dataset,pickup_count_roll_mean_6,0,0.0
Final Merged Dataset,pickup_count_roll_mean_24,0,0.0
Final Merged Dataset,pickup_count_roll_std_24,0,0.0
Final Merged Dataset,pickup_count_roll_mean_168,0,0.0
Final Merged Dataset,pickup_count_roll_std_168,0,0.0
Final Merged Dataset,target_pickup_count_next_hour,0,0.0
Final Merged Dataset,demand_pressure_ratio,215768,44.431905933712926
Final Merged Dataset,rain_indicator,0,0.0
Final Merged Dataset,heavy_rain_indicator,0,0.0
Final Merged Dataset,snowfall_indicator,0,0.0
Final Merged Dataset,rain_x_rush_hour,0,0.0
Final Merged Dataset,snow_x_zone_demand,0,0.0
Final Merged Dataset,event_x_baseline_demand,0,0.0
Final Merged Dataset,accident_x_pickup_pressure,0,0.0
